STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT18
USC00305113,"EMMONS, NY US",12/21/1983,,,,,1,13,-9,,,,,,,
USC00305113,"EMMONS, NY US",12/22/1983,,,0.26,1,2,33,-9,,,,1,,,
USC00305113,"EMMONS, NY US",12/23/1983,,,0.14,1,2,43,14,,,,,,,
USC00305113,"EMMONS, NY US",12/24/1983,,,0.01,0,2,23,11,,,,,,,
USC00305113,"EMMONS, NY US",12/25/1983,,,0.04,0,2,13,-5,,,,,,,
USC00305113,"EMMONS, NY US",12/26/1983,,,0,0,2,-1,-4,,,,,,,
USC00305113,"EMMONS, NY US",12/27/1983,,,,,2,11,-2,,,,,,,
USC00305113,"EMMONS, NY US",12/28/1983,,,,,2,21,11,,,,,,,
USC00305113,"EMMONS, NY US",12/29/1983,,,0.66,0,1,42,21,,,,1,,,
USC00305113,"EMMONS, NY US",12/30/1983,,,,,1,21,3,,,,,,,
USC00305113,"EMMONS, NY US",12/31/1983,,,,,1,19,0,,,,,,,
USC00305113,"EMMONS, NY US",1/1/1984,,,,,1,21,0,,,,,,,
USC00305113,"EMMONS, NY US",1/2/1984,,,0,0,1,30,17,,,,,,,
USC00305113,"EMMONS, NY US",1/3/1984,,,0,0,1,28,24,,,,1,,,
USC00305113,"EMMONS, NY US",1/4/1984,,,,,1,33,27,,,,,,,
USC00305113,"EMMONS, NY US",1/5/1984,,,,,1,34,32,,,,,,,
USC00305113,"EMMONS, NY US",1/6/1984,,,0.05,1,2,35,32,,,,,,,
USC00305113,"EMMONS, NY US",1/7/1984,,,0.04,0,2,35,32,,,,,,,
USC00305113,"EMMONS, NY US",1/8/1984,,,0.01,0,2,33,3,,,,,,,
USC00305113,"EMMONS, NY US",1/9/1984,,,0.03,0,3,21,6,,,,,,,
USC00305113,"EMMONS, NY US",1/10/1984,,,0.19,2,5,29,19,,,,,,,
USC00305113,"EMMONS, NY US",1/11/1984,,,0.3,5,10,29,-1,,,,,,,
USC00305113,"EMMONS, NY US",1/12/1984,,,,,10,16,-19,,,,,,,
USC00305113,"EMMONS, NY US",1/13/1984,,,,,10,13,-18,,,,,,,
USC00305113,"EMMONS, NY US",1/14/1984,,,0.05,1,11,20,-5,,,,,,,
USC00305113,"EMMONS, NY US",1/15/1984,,,0.03,1,12,30,11,,,,,,,
USC00305113,"EMMONS, NY US",1/16/1984,,,,,12,14,-14,,,,,,,
USC00305113,"EMMONS, NY US",1/17/1984,,,0.02,0,12,14,-14,,,,,,,
USC00305113,"EMMONS, NY US",1/18/1984,,,0,0,12,30,6,,,,,,,
USC00305113,"EMMONS, NY US",1/19/1984,,,0.1,1.6,13,22,7,,,,,,,
USC00305113,"EMMONS, NY US",1/20/1984,,,,,13,18,-8,,,,,,,
USC00305113,"EMMONS, NY US",1/21/1984,,,,,13,15,-18,,,,,,,
USC00305113,"EMMONS, NY US",1/22/1984,,,,,13,11,-21,,,,,,,
USC00305113,"EMMONS, NY US",1/23/1984,,,,,13,18,-20,,,,,,,
USC00305113,"EMMONS, NY US",1/24/1984,,,0.15,0.6,13,35,0,,,,1,,,
USC00305113,"EMMONS, NY US",1/25/1984,,,0.08,0,7,43,35,,,,,,,
USC00305113,"EMMONS, NY US",1/26/1984,,,,,6,41,26,,,,,,,
USC00305113,"EMMONS, NY US",1/27/1984,,,,,6,32,22,,,,,,,
USC00305113,"EMMONS, NY US",1/28/1984,,,,,4,51,15,,,,,,,
USC00305113,"EMMONS, NY US",1/29/1984,,,,,4,27,9,,,,,,,
USC00305113,"EMMONS, NY US",1/30/1984,,,0,0,4,30,9,,,,,,,
USC00305113,"EMMONS, NY US",1/31/1984,,,0.12,1.6,6,30,24,,,,,,,
USC00305113,"EMMONS, NY US",2/1/1984,,,0.02,0.9,7,25,-7,,,,,,,
USC00305113,"EMMONS, NY US",2/2/1984,,,,,7,17,-10,,,,,,,
USC00305113,"EMMONS, NY US",2/3/1984,,,,,7,37,-8,,,,,,,
USC00305113,"EMMONS, NY US",2/4/1984,,,0.08,,4,43,32,,,,,,,
USC00305113,"EMMONS, NY US",2/5/1984,,,,,3,39,23,,,,,,,
USC00305113,"EMMONS, NY US",2/6/1984,,,0.27,3.6,7,33,26,,,,,,,
USC00305113,"EMMONS, NY US",2/7/1984,,,0.04,2.1,9,28,15,,,,,,,
USC00305113,"EMMONS, NY US",2/8/1984,,,,,9,19,1,,,,,,,
USC00305113,"EMMONS, NY US",2/9/1984,,,,,8,21,5,,,,,,,
USC00305113,"EMMONS, NY US",2/10/1984,,,,,8,29,9,,,,,,,
USC00305113,"EMMONS, NY US",2/11/1984,,,0.03,,4,44,26,,1,,,,,
USC00305113,"EMMONS, NY US",2/12/1984,,,0.03,,2,44,31,,1,,,,,
USC00305113,"EMMONS, NY US",2/13/1984,,,,,1,42,32,,,,,,,
USC00305113,"EMMONS, NY US",2/14/1984,,,,,,53,32,,,,,,,
USC00305113,"EMMONS, NY US",2/15/1984,,,0.15,,,52,42,,,,,,,
USC00305113,"EMMONS, NY US",2/16/1984,,,0.07,,,45,33,,1,,,,,
USC00305113,"EMMONS, NY US",2/17/1984,,,,,,51,32,,,,,,,
USC00305113,"EMMONS, NY US",2/18/1984,,,0.02,,,41,32,,,,,,,
USC00305113,"EMMONS, NY US",2/19/1984,,,0,,,42,34,,,,,,,
USC00305113,"EMMONS, NY US",2/20/1984,,,0,,,45,35,,,,,,,
USC00305113,"EMMONS, NY US",2/21/1984,,,0,0,0,37,30,,,,,,,
USC00305113,"EMMONS, NY US",2/22/1984,,,0.02,0,0,32,25,,,,,,,
USC00305113,"EMMONS, NY US",2/23/1984,,,,,,39,24,,,,,,,
USC00305113,"EMMONS, NY US",2/24/1984,,,,,,61,24,,,,,,,
USC00305113,"EMMONS, NY US",2/25/1984,,,,,,62,31,,,,,,,
USC00305113,"EMMONS, NY US",2/26/1984,,,0.47,3.1,3,60,12,,,,,,,
USC00305113,"EMMONS, NY US",2/27/1984,,,,,3,28,11,,,,,,,
USC00305113,"EMMONS, NY US",2/28/1984,,,0.13,1,3,33,11,,,,,,,
USC00305113,"EMMONS, NY US",2/29/1984,,,0.32,1.2,2,38,20,,,,,,,
USC00305113,"EMMONS, NY US",3/1/1984,,,0.02,0.4,2,20,13,,,,,,,
USC00305113,"EMMONS, NY US",3/2/1984,,,0,0,2,22,12,,,,,,,
USC00305113,"EMMONS, NY US",3/3/1984,,,0.04,1.2,3,22,12,,,,,,,
USC00305113,"EMMONS, NY US",3/4/1984,,,,,3,22,1,,,,,,,
USC00305113,"EMMONS, NY US",3/5/1984,,,,,3,29,0,,,,,,,
USC00305113,"EMMONS, NY US",3/6/1984,,,0.13,0,2,37,25,,,,1,,,
USC00305113,"EMMONS, NY US",3/7/1984,,,0,0,2,37,16,,,,,,,
USC00305113,"EMMONS, NY US",3/8/1984,,,,,2,24,0,,,,,,,
USC00305113,"EMMONS, NY US",3/9/1984,,,0.05,1.7,4,22,0,,,,,,,
USC00305113,"EMMONS, NY US",3/10/1984,,,0,0,4,17,-9,,,,,,,
USC00305113,"EMMONS, NY US",3/11/1984,,,,,3,25,-5,,,,,,,
USC00305113,"EMMONS, NY US",3/12/1984,,,0.03,0.4,3,29,-6,,,,,,,
USC00305113,"EMMONS, NY US",3/13/1984,,,0.11,2.1,5,17,-5,,,,1,,,
USC00305113,"EMMONS, NY US",3/14/1984,,,0.33,3.1,8,27,14,,,,,,,
USC00305113,"EMMONS, NY US",3/15/1984,,,,,8,29,15,,,,,,,
USC00305113,"EMMONS, NY US",3/16/1984,,,,,4,51,20,,,,,,,
USC00305113,"EMMONS, NY US",3/17/1984,,,0.04,0,2,58,20,,,,,,,
USC00305113,"EMMONS, NY US",3/18/1984,,,,,1,36,20,,,,,,,
USC00305113,"EMMONS, NY US",3/19/1984,,,0.18,1.4,2,38,27,,,,,,,
USC00305113,"EMMONS, NY US",3/20/1984,,,0.02,,,38,31,,1,,,,,
USC00305113,"EMMONS, NY US",3/21/1984,,,,,,60,31,,,,,,,
USC00305113,"EMMONS, NY US",3/22/1984,,,0.1,,,50,29,,,,,,,
USC00305113,"EMMONS, NY US",3/23/1984,,,0.02,0.1,,40,28,,,,,,,
USC00305113,"EMMONS, NY US",3/24/1984,,,0.05,0.4,0,33,25,,,,,,,
USC00305113,"EMMONS, NY US",3/25/1984,,,,,,40,17,,,,,,,
USC00305113,"EMMONS, NY US",3/26/1984,,,,,,48,18,,,,,,,
USC00305113,"EMMONS, NY US",3/27/1984,,,,,,40,16,,,,,,,
USC00305113,"EMMONS, NY US",3/28/1984,,,,,,50,16,,,,,,,
USC00305113,"EMMONS, NY US",3/29/1984,,,0.2,2.1,2,39,28,,,,,,,
USC00305113,"EMMONS, NY US",3/30/1984,,,0.82,8.9,11,33,28,,,,,,,
USC00305113,"EMMONS, NY US",3/31/1984,,,0.04,0.4,10,33,21,,,,,,,
USC00305113,"EMMONS, NY US",4/1/1984,,,,,5,44,16,,,,,,,
USC00305113,"EMMONS, NY US",4/2/1984,,,,,2,48,20,,,,,,,
USC00305113,"EMMONS, NY US",4/3/1984,,,,,,52,20,,,,,,,
USC00305113,"EMMONS, NY US",4/4/1984,,,,,,59,24,,,,,,,
USC00305113,"EMMONS, NY US",4/5/1984,,,0.29,0,,52,35,,,1,,1,,
USC00305113,"EMMONS, NY US",4/6/1984,,,0.3,,,57,42,,,,,,,
USC00305113,"EMMONS, NY US",4/7/1984,,,0.18,,,48,35,,,,,,,
USC00305113,"EMMONS, NY US",4/8/1984,,,0.02,0,,39,31,,,,,,,
USC00305113,"EMMONS, NY US",4/9/1984,,,,,,49,20,,,,,,,
USC00305113,"EMMONS, NY US",4/10/1984,,,,,,52,21,,,,,,,
USC00305113,"EMMONS, NY US",4/11/1984,,,,,,51,31,,,,,,,
USC00305113,"EMMONS, NY US",4/12/1984,,,,,,60,29,,,,,,,
USC00305113,"EMMONS, NY US",4/13/1984,,,,,,63,29,,,,,,,
USC00305113,"EMMONS, NY US",4/14/1984,,,0.21,,,58,38,,,1,,,,
USC00305113,"EMMONS, NY US",4/15/1984,,,0.2,,,49,42,,,,,,,
USC00305113,"EMMONS, NY US",4/16/1984,,,0.34,,,44,40,,,,,,,
USC00305113,"EMMONS, NY US",4/17/1984,,,0.58,,,46,40,,1,1,,,,
USC00305113,"EMMONS, NY US",4/18/1984,,,0.15,,,60,38,,1,1,,1,,
USC00305113,"EMMONS, NY US",4/19/1984,,,0.05,,,59,37,,1,,,,,
USC00305113,"EMMONS, NY US",4/20/1984,,,0.58,,,50,41,,1,,,,,
USC00305113,"EMMONS, NY US",4/21/1984,,,0.02,,,42,35,,,,,,,
USC00305113,"EMMONS, NY US",4/22/1984,,,,,,43,22,,,,,,,
USC00305113,"EMMONS, NY US",4/23/1984,,,,,,55,26,,,,,,,
USC00305113,"EMMONS, NY US",4/24/1984,,,0.13,,,48,40,,,,,,,
USC00305113,"EMMONS, NY US",4/25/1984,,,0.2,,,49,41,,1,,,,,
USC00305113,"EMMONS, NY US",4/26/1984,,,0.02,,,45,35,,1,,,,,
USC00305113,"EMMONS, NY US",4/27/1984,,,,,,66,35,,,,,,,
USC00305113,"EMMONS, NY US",4/28/1984,,,,,,72,43,,,1,,,,
USC00305113,"EMMONS, NY US",4/29/1984,,,0.1,,,69,41,,,,,,,
USC00305113,"EMMONS, NY US",4/30/1984,,,,,,74,40,,,1,,,,
USC00305113,"EMMONS, NY US",5/1/1984,,,0.11,,,70,36,,,,,,,
USC00305113,"EMMONS, NY US",5/2/1984,,,0,,,52,32,,,,,,,
USC00305113,"EMMONS, NY US",5/3/1984,,,,,,54,28,,,,,,,
USC00305113,"EMMONS, NY US",5/4/1984,,,0.99,,,64,31,,,,,,,
USC00305113,"EMMONS, NY US",5/5/1984,,,0.16,,,57,38,,1,,,,,
USC00305113,"EMMONS, NY US",5/6/1984,,,0.05,,,59,34,,1,,,,,
USC00305113,"EMMONS, NY US",5/7/1984,,,,,,65,33,,1,,,,,
USC00305113,"EMMONS, NY US",5/8/1984,,,0,,,71,38,,,,,,,
USC00305113,"EMMONS, NY US",5/9/1984,,,0.39,,,65,40,,1,,,,,
USC00305113,"EMMONS, NY US",5/10/1984,,,0.04,,,53,38,,,,,,,
USC00305113,"EMMONS, NY US",5/11/1984,,,0,,,60,34,,,,,,,
USC00305113,"EMMONS, NY US",5/12/1984,,,0.42,,,63,36,,,1,,1,,
USC00305113,"EMMONS, NY US",5/13/1984,,,0.3,,,67,37,,,,,,,
USC00305113,"EMMONS, NY US",5/14/1984,,,0.79,,,60,38,,,,,,,
USC00305113,"EMMONS, NY US",5/15/1984,,,0,,,53,36,,,,1,,,
USC00305113,"EMMONS, NY US",5/16/1984,,,0.11,,,50,36,,,,1,,,
USC00305113,"EMMONS, NY US",5/17/1984,,,0.06,,,42,28,,,,,,,
USC00305113,"EMMONS, NY US",5/18/1984,,,,,,58,28,,,,,,,
USC00305113,"EMMONS, NY US",5/19/1984,,,,,,57,34,,,,,,,
USC00305113,"EMMONS, NY US",5/20/1984,,,0,,,76,41,,,,,,,
USC00305113,"EMMONS, NY US",5/21/1984,,,0.22,,,63,45,,,,,,,
USC00305113,"EMMONS, NY US",5/22/1984,,,,,,72,45,,,,,,,
USC00305113,"EMMONS, NY US",5/23/1984,,,,,,84,50,,,1,,,,
USC00305113,"EMMONS, NY US",5/24/1984,,,0.41,,,78,47,,,,,,,
USC00305113,"EMMONS, NY US",5/25/1984,,,,,,68,42,,,,,,,
USC00305113,"EMMONS, NY US",5/26/1984,,,,,,81,44,,,,,,,
USC00305113,"EMMONS, NY US",5/27/1984,,,0.27,,,78,44,,,,,,,
USC00305113,"EMMONS, NY US",5/28/1984,,,0.47,,,66,45,,,,,,,
USC00305113,"EMMONS, NY US",5/29/1984,,,1.65,,,53,46,,,,,,,
USC00305113,"EMMONS, NY US",5/30/1984,,,0.37,,,62,46,,,,,,,
USC00305113,"EMMONS, NY US",5/31/1984,,,0.03,,,50,43,,,,,,,
USC00305113,"EMMONS, NY US",6/1/1984,,,0,0,0,56,35,36,1,,,,,
USC00305113,"EMMONS, NY US",6/2/1984,,,0,0,0,66,36,50,,,,,,
USC00305113,"EMMONS, NY US",6/3/1984,,,0,0,0,71,36,50,,,,,,
USC00305113,"EMMONS, NY US",6/4/1984,,,0.01,0,0,57,44,44,1,,,,,
USC00305113,"EMMONS, NY US",6/5/1984,,,0,0,0,78,44,46,,,,,,
USC00305113,"EMMONS, NY US",6/6/1984,,,0,0,0,82,46,52,,,,,,
USC00305113,"EMMONS, NY US",6/7/1984,,,0.02,0,0,85,52,64,,,,,,
USC00305113,"EMMONS, NY US",6/8/1984,,,0,0,0,88,59,59,1,,,,,
USC00305113,"EMMONS, NY US",6/9/1984,,,0,0,0,89,59,73,,,,,,
USC00305113,"EMMONS, NY US",6/10/1984,,,0,0,0,88,63,64,1,,,,,
USC00305113,"EMMONS, NY US",6/11/1984,,,0,0,0,89,64,74,,,,,,
USC00305113,"EMMONS, NY US",6/12/1984,,,0,0,0,85,49,49,1,,,,,
USC00305113,"EMMONS, NY US",6/13/1984,,,0,0,0,84,49,55,,,,,,
USC00305113,"EMMONS, NY US",6/14/1984,,,0.31,0,0,89,55,64,,1,,,,
USC00305113,"EMMONS, NY US",6/15/1984,,,0.04,0,0,79,47,48,,,,,,
USC00305113,"EMMONS, NY US",6/16/1984,,,0,0,0,65,39,43,1,,,,,
USC00305113,"EMMONS, NY US",6/17/1984,,,0,0,0,72,43,59,,,,,,
USC00305113,"EMMONS, NY US",6/18/1984,,,0,0,0,69,59,62,,1,,,,
USC00305113,"EMMONS, NY US",6/19/1984,,,0.81,0,0,73,62,67,,,,,,
USC00305113,"EMMONS, NY US",6/20/1984,,,0,0,0,79,50,51,1,,,,,
USC00305113,"EMMONS, NY US",6/21/1984,,,0,0,0,72,42,44,1,,,,,
USC00305113,"EMMONS, NY US",6/22/1984,,,0,0,0,75,44,45,,,,,,
USC00305113,"EMMONS, NY US",6/23/1984,,,0,0,0,77,44,48,,,,,,
USC00305113,"EMMONS, NY US",6/24/1984,,,0,0,0,79,48,65,,,,,,
USC00305113,"EMMONS, NY US",6/25/1984,,,0.82,0,0,67,56,57,1,,,,,
USC00305113,"EMMONS, NY US",6/26/1984,,,0,0,0,72,44,46,1,,,,,
USC00305113,"EMMONS, NY US",6/27/1984,,,0,0,0,69,40,43,1,1,,,,
USC00305113,"EMMONS, NY US",6/28/1984,,,0.32,0,0,80,43,57,,,,,,
USC00305113,"EMMONS, NY US",6/29/1984,,,0,0,0,79,53,55,1,1,,,,
USC00305113,"EMMONS, NY US",6/30/1984,,,0.59,0,0,80,55,59,,,,,,
USC00305113,"EMMONS, NY US",7/1/1984,,,0,0,0,77,58,62,,,,,,
USC00305113,"EMMONS, NY US",7/2/1984,,,0.39,0,0,67,58,59,,,,,,
USC00305113,"EMMONS, NY US",7/3/1984,,,0,0,0,82,59,59,,1,,,,
USC00305113,"EMMONS, NY US",7/4/1984,,,0.12,0,0,80,55,59,,,,,,
USC00305113,"EMMONS, NY US",7/5/1984,,,0.07,0,0,81,59,63,,,,,,
USC00305113,"EMMONS, NY US",7/6/1984,,,0.47,0,0,74,57,60,,1,,,,
USC00305113,"EMMONS, NY US",7/7/1984,,,1.62,0,0,71,60,63,,,,,,
USC00305113,"EMMONS, NY US",7/8/1984,,,0,0,0,73,49,51,,,,,,
USC00305113,"EMMONS, NY US",7/9/1984,,,0,0,0,68,45,46,,,,,,
USC00305113,"EMMONS, NY US",7/10/1984,,,0,0,0,78,46,48,1,,,,,
USC00305113,"EMMONS, NY US",7/11/1984,,,0.06,0,0,78,48,68,,1,,,,
USC00305113,"EMMONS, NY US",7/12/1984,,,0.03,0,0,83,61,62,,,,,,
USC00305113,"EMMONS, NY US",7/13/1984,,,0,0,0,82,54,56,,,,,,
USC00305113,"EMMONS, NY US",7/14/1984,,,0,0,0,81,54,55,,,,,,
USC00305113,"EMMONS, NY US",7/15/1984,,,0,0,0,81,55,60,,,,,,
USC00305113,"EMMONS, NY US",7/16/1984,,,0.13,0,0,86,60,70,,,,,,
USC00305113,"EMMONS, NY US",7/17/1984,,,0.08,0,0,82,55,55,,,,,,
USC00305113,"EMMONS, NY US",7/18/1984,,,1.09,0,0,79,55,62,,1,,,,
USC00305113,"EMMONS, NY US",7/19/1984,,,0.2,0,0,75,52,55,,,,,,
USC00305113,"EMMONS, NY US",7/20/1984,,,0,0,0,75,48,50,1,,,,,
USC00305113,"EMMONS, NY US",7/21/1984,,,0,0,0,78,50,61,,,,,,
USC00305113,"EMMONS, NY US",7/22/1984,,,0,0,0,74,55,56,1,,,,,
USC00305113,"EMMONS, NY US",7/23/1984,,,0,0,0,85,56,59,,,,,,
USC00305113,"EMMONS, NY US",7/24/1984,,,0,0,0,85,59,73,,,,,,
USC00305113,"EMMONS, NY US",7/25/1984,,,0,0,0,79,49,49,,,,,,
USC00305113,"EMMONS, NY US",7/26/1984,,,0,0,0,73,44,45,,,,,,
USC00305113,"EMMONS, NY US",7/27/1984,,,0.38,0,0,77,45,58,,,,,,
USC00305113,"EMMONS, NY US",7/28/1984,,,1.04,0,0,59,54,57,,,,,,
USC00305113,"EMMONS, NY US",7/29/1984,,,0,0,0,74,54,55,1,,,,,
USC00305113,"EMMONS, NY US",7/30/1984,,,0,0,0,78,54,58,,,,,,
USC00305113,"EMMONS, NY US",7/31/1984,,,0,0,0,79,49,51,,,,,,
USC00305113,"EMMONS, NY US",8/1/1984,,,0,0,0,82,51,60,,,,,,
USC00305113,"EMMONS, NY US",8/2/1984,,,0.03,0,0,83,58,61,1,,,,,
USC00305113,"EMMONS, NY US",8/3/1984,,,0,0,0,83,61,65,1,,,,,
USC00305113,"EMMONS, NY US",8/4/1984,,,0,0,0,77,63,65,1,,,,,
USC00305113,"EMMONS, NY US",8/5/1984,,,0,0,0,85,63,64,1,,,,,
USC00305113,"EMMONS, NY US",8/6/1984,,,0,0,0,82,62,62,1,,,,,
USC00305113,"EMMONS, NY US",8/7/1984,,,0,0,0,84,62,72,,,,,,
USC00305113,"EMMONS, NY US",8/8/1984,,,0,0,0,83,62,65,,,,,,
USC00305113,"EMMONS, NY US",8/9/1984,,,0,0,0,84,60,64,,,,,,
USC00305113,"EMMONS, NY US",8/10/1984,,,0,0,0,85,64,71,,,,,,
USC00305113,"EMMONS, NY US",8/11/1984,,,0,0,0,77,66,69,1,1,,,,
USC00305113,"EMMONS, NY US",8/12/1984,,,0.71,0,0,80,63,67,1,,,,,
USC00305113,"EMMONS, NY US",8/13/1984,,,0.46,0,0,81,65,66,1,,,,,
USC00305113,"EMMONS, NY US",8/14/1984,,,0,0,0,84,63,64,1,,,,,
USC00305113,"EMMONS, NY US",8/15/1984,,,0.13,0,0,81,63,66,,,,,,
USC00305113,"EMMONS, NY US",8/16/1984,,,0,0,0,81,56,58,1,,,,,
USC00305113,"EMMONS, NY US",8/17/1984,,,0.16,0,0,81,58,63,,1,,,,
USC00305113,"EMMONS, NY US",8/18/1984,,,0,0,0,71,48,50,1,,,,,
USC00305113,"EMMONS, NY US",8/19/1984,,,0.02,0,0,75,48,54,,,,,,
USC00305113,"EMMONS, NY US",8/20/1984,,,0.34,0,0,65,46,47,,,,,,
USC00305113,"EMMONS, NY US",8/21/1984,,,0,0,0,67,43,44,1,,,,,
USC00305113,"EMMONS, NY US",8/22/1984,,,0,0,0,74,44,45,1,,,,,
USC00305113,"EMMONS, NY US",8/23/1984,,,0.56,0,0,80,45,64,,,,,,
USC00305113,"EMMONS, NY US",8/24/1984,,,0.03,0,0,75,55,56,,,,,,
USC00305113,"EMMONS, NY US",8/25/1984,,,0,0,0,70,51,52,1,,,,,
USC00305113,"EMMONS, NY US",8/26/1984,,,0,0,0,75,48,52,1,,,,,
USC00305113,"EMMONS, NY US",8/27/1984,,,0,0,0,78,44,48,1,,,,,
USC00305113,"EMMONS, NY US",8/28/1984,,,0,0,0,79,48,58,1,,,,,
USC00305113,"EMMONS, NY US",8/29/1984,,,0,0,0,81,58,70,,,,,,
USC00305113,"EMMONS, NY US",8/30/1984,,,0,0,0,82,67,71,,,,,,
USC00305113,"EMMONS, NY US",8/31/1984,,,0.33,0,0,84,63,64,,,,,,
USC00305113,"EMMONS, NY US",9/1/1984,,,0,0,0,75,47,51,,,,,,
USC00305113,"EMMONS, NY US",9/2/1984,,,0,0,0,71,46,51,,,,,,
USC00305113,"EMMONS, NY US",9/3/1984,,,0.76,0,0,65,51,63,,1,,,,
USC00305113,"EMMONS, NY US",9/4/1984,,,0.16,0,0,65,52,52,,,,,,
USC00305113,"EMMONS, NY US",9/5/1984,,,0.04,0,0,62,43,43,1,,,,,
USC00305113,"EMMONS, NY US",9/6/1984,,,0,0,0,62,37,38,1,,,,,
USC00305113,"EMMONS, NY US",9/7/1984,,,0,0,0,60,33,34,1,,,,,
USC00305113,"EMMONS, NY US",9/8/1984,,,0,0,0,68,34,40,1,,,,,
USC00305113,"EMMONS, NY US",9/9/1984,,,0,0,0,73,40,52,,,,,,
USC00305113,"EMMONS, NY US",9/10/1984,,,0,0,0,71,52,58,,,,,,
USC00305113,"EMMONS, NY US",9/11/1984,,,0,0,0,75,58,63,,1,,,,
