STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/11/1983,0,",,0,2400",0,",,0,",0,",,0,",,,30,",,0",18,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/12/1983,0.56,",,0,2400",0,"T,,0,",0,",,0,",,,39,",,0",25,",,0",1,",,0",,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/13/1983,1.86,",,0,2400",0,",,0,",0,",,0,",,,41,",,0",35,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/14/1983,0.11,",,0,2400",0,",,0,",0,",,0,",,,45,",,0",37,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/15/1983,0.01,",,0,2400",0,",,0,",0,",,0,",,,48,",,0",30,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/16/1983,0,"T,,0,2400",0,"T,,0,",0,",,0,",,,42,",,0",29,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/17/1983,0,",,0,2400",0,",,0,",0,"T,,0,",,,35,",,0",20,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/18/1983,0.05,",,0,2400",0.5,",,0,",0,",,0,",,,31,",,0",18,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/19/1983,0.01,",,0,2400",0.2,",,0,",1,",,0,",,,26,",,0",8,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/20/1983,0,",,0,2400",0,",,0,",0,"T,,0,",,,10,",,0",0,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/21/1983,0,"T,,0,2400",0,"T,,0,",0,"T,,0,",,,17,",,0",-3,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/22/1983,0.48,",,0,2400",3.7,",,0,",2,",,0,",,,37,",,0",16,",,0",1,",,0",,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/23/1983,0,"T,,0,2400",0,"T,,0,",3,",,0,",,,30,",,0",12,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/24/1983,0.02,",,0,2400",0.2,",,0,",3,",,0,",,,19,",,0",1,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/25/1983,0,",,0,2400",0,",,0,",3,",,0,",,,3,",,0",-7,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/26/1983,0,"T,,0,2400",0,"T,,0,",3,",,0,",,,13,",,0",-5,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/27/1983,0,"T,,0,2400",0,"T,,0,",3,",,0,",,,21,",,0",3,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/28/1983,0.5,",,0,2400",0,"T,,0,",2,",,0,",,,36,",,0",3,",,0",1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/29/1983,0,"T,,0,2400",0,"T,,0,",1,",,0,",,,37,",,0",15,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/30/1983,0,",,0,2400",0,",,0,",1,",,0,",,,19,",,0",4,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,12/31/1983,0,",,0,2400",0,",,0,",1,",,0,",,,23,",,0",-2,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/1/1984,0,",,0,2400",0,",,0,",1,",,0,",,,26,",,0",8,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/2/1984,0.03,",,0,2400",0.5,",,0,",1,",,0,",,,29,",,0",13,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/3/1984,0,",,0,2400",0,",,0,",1,",,0,",,,32,",,0",23,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/4/1984,0,"T,,0,2400",0,"T,,0,",1,",,0,",,,36,",,0",23,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/5/1984,0,"T,,0,2400",0,"T,,0,",1,",,0,",,,37,",,0",32,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/6/1984,0.03,",,0,2400",0.3,",,0,",1,",,0,",,,37,",,0",32,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/7/1984,0,"T,,0,2400",0,"T,,0,",0,"T,,0,",,,36,",,0",11,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/8/1984,0.01,",,0,2400",0.1,",,0,",0,"T,,0,",,,17,",,0",9,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/9/1984,0.07,",,0,2400",1,",,0,",1,",,0,",,,25,",,0",14,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/10/1984,0.65,",,0,2400",7.3,",,0,",3,",,0,",,,30,",,0",15,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/11/1984,0,"T,,0,2400",0,"T,,0,",8,",,0,",,,15,",,0",0,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/12/1984,0,",,0,2400",0,",,0,",7,",,0,",,,6,",,0",-7,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/13/1984,0.02,",,0,2400",0.3,",,0,",7,",,0,",,,15,",,0",-4,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/14/1984,0.08,",,0,2400",1.7,",,0,",8,",,0,",,,29,",,0",14,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/15/1984,0,"T,,0,2400",0,"T,,0,",8,",,0,",,,20,",,0",-4,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/16/1984,0.01,",,0,2400",0.2,",,0,",8,",,0,",,,12,",,0",-12,",,0",1,",,0",,,,,1,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,1,",,X",,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/17/1984,0,"T,,0,2400",0,"T,,0,",8,",,0,",,,24,",,0",-6,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/18/1984,0.06,",,0,2400",0.8,",,0,",7,",,0,",,,24,",,0",5,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/19/1984,0.03,",,0,2400",0.5,",,0,",9,",,0,",,,25,",,0",7,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/20/1984,0,",,0,2400",0,",,0,",9,",,0,",,,14,",,0",-13,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/21/1984,0,",,0,2400",0,",,0,",9,",,0,",,,9,",,0",-13,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/22/1984,0,",,0,2400",0,",,0,",9,",,0,",,,13,",,0",-20,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/23/1984,0,",,0,2400",0,",,0,",8,",,0,",,,27,",,0",-2,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/24/1984,0.04,",,0,2400",0,"T,,0,",7,",,0,",,,40,",,0",26,",,0",1,",,0",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,,1,",,X",,,1,",,0",1,",,X",1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/25/1984,0,",,0,2400",0,",,0,",4,",,0,",,,45,",,0",33,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/26/1984,0,",,0,2400",0,",,0,",2,",,0,",,,35,",,0",27,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/27/1984,0,",,0,2400",0,",,0,",1,",,0,",,,48,",,0",20,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/28/1984,0,",,0,2400",0,",,0,",0,"T,,0,",,,27,",,0",10,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/29/1984,0.02,",,0,2400",0.6,",,0,",0,"T,,0,",,,29,",,0",11,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/30/1984,0.22,",,0,2400",2.7,",,0,",1,",,0,",,,36,",,0",27,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,1/31/1984,0.01,",,0,2400",0.5,",,0,",3,",,0,",,,31,",,0",12,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/1/1984,0,",,0,2400",0,",,0,",3,",,0,",,,16,",,0",-3,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/2/1984,0,",,0,2400",0,",,0,",2,",,0,",,,26,",,0",-8,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/3/1984,0.09,",,0,2400",0,",,0,",2,",,0,",,,44,",,0",13,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/4/1984,0,"T,,0,2400",0,",,0,",0,",,0,",,,44,",,0",28,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/5/1984,0.5,",,0,2400",4.2,",,0,",0,",,0,",,,39,",,0",28,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/6/1984,0.01,",,0,2400",0.1,",,0,",2,",,0,",,,34,",,0",25,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/7/1984,0.01,",,0,2400",0.1,",,0,",2,",,0,",,,25,",,0",13,",,0",,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/8/1984,0,",,0,2400",0,",,0,",1,",,0,",,,21,",,0",9,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/9/1984,0,"T,,0,2400",0,"T,,0,",1,",,0,",,,30,",,0",5,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/10/1984,0,",,0,2400",0,",,0,",1,",,0,",,,40,",,0",6,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/11/1984,0.21,",,0,2400",0,",,0,",0,"T,,0,",,,45,",,0",34,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/12/1984,0,",,0,2400",0,",,0,",0,"T,,0,",,,45,",,0",28,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/13/1984,0,",,0,2400",0,",,0,",0,",,0,",,,42,",,0",31,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/14/1984,0.1,",,0,2400",0,",,0,",0,",,0,",,,51,",,0",30,",,0",1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/15/1984,0.52,",,0,2400",0,",,0,",0,",,0,",,,49,",,0",40,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/16/1984,0,"T,,0,2400",0,",,0,",0,",,0,",,,52,",,0",38,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/17/1984,0.26,",,0,2400",0,",,0,",0,",,0,",,,45,",,0",36,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/18/1984,0.17,",,0,2400",0,",,0,",0,",,0,",,,42,",,0",36,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/19/1984,0.07,",,0,2400",0,",,0,",0,",,0,",,,46,",,0",38,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/20/1984,0.02,",,0,2400",0,",,0,",0,",,0,",,,44,",,0",36,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/21/1984,0.05,",,0,2400",0.3,",,0,",0,",,0,",,,38,",,0",30,",,0",1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/22/1984,0,",,0,2400",0,",,0,",0,",,0,",,,42,",,0",28,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/23/1984,0,",,0,2400",0,",,0,",0,",,0,",,,62,",,0",26,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/24/1984,0.02,",,0,2400",0,",,0,",0,",,0,",,,58,",,0",35,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/25/1984,0.26,",,0,2400",0.4,",,0,",0,",,0,",,,57,",,0",29,",,0",1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/26/1984,0,"T,,0,2400",0,"T,,0,",0,"T,,0,",,,35,",,0",23,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/27/1984,0,",,0,2400",0,",,0,",0,",,0,",,,34,",,0",19,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2/28/1984,0.62,",,0,2400",1.5,",,0,",0,"T,,0,",,,38,",,0",26,",,0",1,",,0",,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,1,",,X",,,1,",,0",1,",,X",1,",,0",,,,,,,,
