STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/17/1984,,,,,,,,,0.01,",,0,0800",1,",,0",11,",,0",16,",,0",-8,",,0",16,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/18/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",11,",,0",26,",,0",2,",,0",12,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/19/1984,,,,,,,,,0.09,",,0,0800",2,",,0",13,",,0",23,",,0",10,",,0",14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/20/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",13,",,0",16,",,0",-13,",,0",-13,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/21/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",12,",,0",12,",,0",-23,",,0",-14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/22/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",13,",,0",8,",,0",-24,",,0",-9,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/23/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",13,",,0",11,",,0",-10,",,0",7,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/24/1984,,,,,,,,,0.1,",,0,0800",0,"P,,0",12,",,0",35,",,0",5,",,0",26,",,0,0800",,,,,1,",,0",,,1,",,0",,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/25/1984,,,,,,,,,0.22,",,0,0800",0,"P,,0",10,",,0",40,",,0",25,",,0",34,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/26/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",41,",,0",28,",,0",29,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/27/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",38,",,0",18,",,0",20,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/28/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",48,",,0",14,",,0",16,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/29/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",28,",,0",8,",,0",15,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/30/1984,,,,,,,,,0.01,",,0,0800",1,",,0",9,",,0",30,,15,",,0",25,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,1/31/1984,,,,,,,,,0.23,",,0,0800",4,",,0",12,",,0",32,",,0",21,",,0",22,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/1/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",12,",,0",32,",,0",-2,",,0",4,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/2/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",12,",,0",19,",,0",-9,",,0",9,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/3/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",12,",,0",31,",,0",10,",,0",15,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/4/1984,,,,,,,,,0.4,",,0,0800",0,"P,,0",9,",,0",42,",,0",15,",,0",36,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/5/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",7,",,0",41,",,0",24,",,0",28,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/6/1984,,,,,,,,,0.02,",,0,0800",1,",,0",8,",,0",34,",,0",15,",,0",28,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/7/1984,,,,,,,,,0.01,",,0,0800",0,"T,,0",8,",,0",29,",,0",13,",,0",13,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/8/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",8,",,0",19,",,0",6,",,0",11,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/9/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",21,",,0",7,",,0",14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/10/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",31,",,0",9,",,0",10,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/11/1984,,,,,,,,,0.18,",,0,0800",0,"P,,0",6,",,0",45,",,0",9,",,0",33,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/12/1984,,,,,,,,,0.11,",,0,0800",0,"P,,0",5,",,0",41,",,0",25,",,0",36,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/13/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",43,",,0",33,",,0",35,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/14/1984,,,,,,,,,0.01,",,0,0800",0,"P,,0",3,",,0",45,",,0",35,",,0",39,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/15/1984,,,,,,,,,0.9,",,0,0800",0,"T,,0",0,",,0",50,",,0",38,",,0",43,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/16/1984,,,,,,,,,0.59,",,0,0800",0,"P,,0",0,"P,,0",48,",,0",36,",,0",38,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/17/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",0,"P,,0",52,",,0",34,",,0",38,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/18/1984,,,,,,,,,0.03,",,0,0800",0,"P,,0",0,"P,,0",42,",,0",37,",,0",38,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/19/1984,,,,,,,,,0,"T,,0,0800",0,"P,,0",0,"P,,0",45,",,0",33,",,0",35,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/20/1984,,,,,,,,,0.4,",,0,0800",0,"P,,0",0,"P,,0",41,",,0",34,",,0",37,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/21/1984,,,,,,,,,0,"T,,0,0800",0,"P,,0",0,"P,,0",38,",,0",24,",,0",29,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/22/1984,,,,,,,,,0.02,",,0,0800",0,"T,,0",0,"T,,0",34,",,0",21,",,0",23,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/23/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",0,"P,,0",44,",,0",23,",,0",28,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/24/1984,,,,,,,,,0,"T,,0,0800",0,"P,,0",0,"P,,0",53,",,0",28,",,0",45,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/25/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",0,"P,,0",60,",,0",33,",,0",37,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/26/1984,,,,,,,,,0.08,",,0,0800",2,",,0",2,",,0",47,",,0",18,",,0",19,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/27/1984,,,,,,,,,0,"T,,0,0800",0,"P,,0",,,28,",,0",18,",,0",21,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/28/1984,,,,,,,,,0.04,",,0,0800",1,",,0",1,",,0",29,",,0",20,",,0",26,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,2/29/1984,,,,,,,,,0.34,",,0,0800",2,",,0",3,",,0",34,",,0",17,",,0",18,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/1/1984,,,,,,,,,0.02,",,0,0800",0,",,0",4,",,0",27,",,0",12,",,0",14,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/2/1984,,,,,,,,,0,"T,,0,0800",,,4,",,0",20,",,0",10,",,0",16,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/3/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",25,",,0",12,",,0",15,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/4/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",4,",,0",24,",,0",2,",,0",6,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/5/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",,,28,",,0",2,",,0",24,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/6/1984,,,,,,,,,0.39,",,0,0800",2,",,0",3,",,0",34,",,0",21,",,0",31,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/7/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",3,",,0",33,",,0",13,",,0",17,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/8/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",3,",,0",25,",,0",-4,",,0",5,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/9/1984,,,,,,,,,0.25,",,0,0800",6,",,0",9,",,0",24,",,0",4,",,0",4,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/10/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",9,",,0",17,",,0",-10,",,0",2,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/11/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",23,",,0",2,",,0",20,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/12/1984,,,,,,,,,0,"T,,0,0800",0,"T,,0",8,",,0",29,",,0",-5,",,0",1,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/13/1984,,,,,,,,,0.2,",,0,0800",1,",,0",9,",,0",1,",I,0",15,",I,0",20,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/14/1984,,,,,,,,,0.41,",,0,0800",4,",,0",12,",,0",30,",,0",1,",,0",26,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/15/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",12,",,0",30,",,0",9,",,0",16,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/16/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",8,",,0",50,",,0",16,",,0",34,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/17/1984,,,,,,,,,0.02,",,0,0800",0,"P,,0",4,",,0",53,",,0",18,",,0",19,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/18/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",3,",,0",33,",,0",19,",,0",30,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/19/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",3,",,0",42,",,0",30,",,0",32,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/20/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",2,",,0",38,",,0",29,",,0",30,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/21/1984,,,,,,,,,0,"P,,0,0800",0,"P,,0",0,"T,,0",55,",,0",30,",,0",35,",,0,0800",1,",,0",,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/22/1984,,,,,,,,,0.51,",,0,0800",0,"T,,0",0,"T,,0",40,",,0",28,",,0",30,",,0,0800",,,,,,,,,,,,,,
USC00367029,"PLEASANT MOUNT 1 W, PA US",41.7394,-75.4465,548.6,3/23/1984,,,,,,,,,0.15,",,0,0800",,,2,",,0",38,",,0",29,",,0",30,",,0,0800",,,,,,,,,,,,,,
